name,light_years_from_Earth,planet_mass,stellar_magnitude,discovery_data
FU Tauri b,,,,
G 264-012 b,,,,
G 264-012 c,,,,
G 9-40 b,,,,
Gaia-1 b,,,,
Gaia-2 b,,,,
gam1 Leonis b,,,,
Gamma Cephei b,,,,
Gamma Librae b,,,,
Gamma Librae c,,,,
Gamma Piscium b,,,,
GJ 1002 b,,,,
GJ 1002 c,,,,
GJ 1061 b,,,,
GJ 1061 c,,,,
GJ 1061 d,,,,
GJ 1132 b,,,,
GJ 1132 c,,,,
GJ 1148 b,,,,
GJ 1148 c,,,,
GJ 1151 c,,,,
GJ 1214 b,,,,
GJ 1252 b,,,,
GJ 1265 b,,,,
GJ 143 b,,,,
GJ 15 A b,,,,
GJ 15 A c,,,,
GJ 160.2 b,,,,
GJ 163 b,,,,
GJ 163 c,,,,
GJ 163 d,,,,
GJ 179 b,,,,
GJ 180 b,,,,
GJ 180 c,,,,
GJ 180 d,,,,
GJ 2030 b,,,,
GJ 2030 c,,,,
GJ 2056 b,,,,
GJ 229 A c,,,,
GJ 229 b,,,,
GJ 251 b,,,,
GJ 27.1 b,,,,
GJ 273 b,,,,
